label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not apnv objectionable orav doupll fkilmr ; ittg muerelym lacks everytghinlg except good intentions zw.', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('notbn far byeneqath the surface , this prxeconfigured tale asks disturbing questions about those things we expect vfroms miliztaryj epics .av', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('oae dumb movie with dumbsb characters doing dumb things and gfyou have to be really rdwumb not to see where this islr going w.r', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effzectbs and many scenes of weightlessness look xtas good or btettier unthan ifnl ntyhe orifginalx sg, rwhiley thedu oscar-winning sounfnd andut james horner 's rousing score make goyodz use of the hefty uahudio systaemt ."", {'total_alterations': 30, 'delete': 0, 'replace': 0, 'insert': 30})"
0,teen movies have really hit the skids . ,"('teen movuixes have really hit tzbhe skids .', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
1,a quiet treasure -- a film to be savored . ,"('a quiet treasure -- axz film xtoq be savored .', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends qitoo muochh ptipme twallowling incv kbqibi 's generic angst ( thersfe ahrem a lot of shots of her gazing out windows yj) ."", {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has scyharm to trspare , and unlike many romantic comedies , it doeksa not alienate ekbither gender in trhey saudiencge .', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('thkougha only 60 minutes long , the rflilm is packed with informtatione amndt impressions .', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
1,dense with characters and contains some thrilling moments . ,"('dense zwihth characters ahznd contains somnde tuhrinlling monmments .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
0,too much of the humor falls flat . ,"('mtioo much of the hudmror falls aflatk .', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 'shx jar wzolrk by vaan artist so in control of both hizus medium and his message thmrat he can improvise like a jazzmanfq ."", {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""aift 's fynot orjiginjal nz, and , robbed of the element of surprise , ueit doqecs vn'tq have any huge lautbghs qinc ittsf svtoryg of irresponsible cvopbs who lorvec to play pranks .cf"", {'total_alterations': 28, 'delete': 0, 'replace': 0, 'insert': 28})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashbuckling tale of love si, betrayal , irevenkge qvand aboirve all eh, cfaitho .', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""an interesting story wintht a pertinent ( cinematically unique ) message , told fairly well and scporedb to perfection o,i i foqunbd myself strugogkling to upwut omly finger qonh txhatk elusive m`q` missimnlg mthingx . ''"", {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('the man from elygjsian fields is a cold , bliss-less work that ghrozans aeulong thhinkitng itself some important rcomnment on how life throws uism some beguilzinyg curqvess .', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
