label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('n a objectionable r dl film ; it mely lck veryting except good itentins .', {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not f beneath e surfe , hi reonfigred tale as isturbng questions aot ose things we exec rm miitar eis .', {'total_alterations': 26, 'delete': 26, 'replace': 0, 'insert': 0})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a um mvi it dm chaacter doing dumb things and o he to be really dm n t e whe is i ong .', {'total_alterations': 28, 'delete': 28, 'replace': 0, 'insert': 0})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('the special efecs n ny scns of wihtlessness oo s go r betr an n t origna , wie the oscar-winning sound d james hoer s rousing sre ae go s of t hefty uio system .', {'total_alterations': 44, 'delete': 44, 'replace': 0, 'insert': 0})"
0,teen movies have really hit the skids . ,"('teen move av really hit h ids .', {'total_alterations': 8, 'delete': 8, 'replace': 0, 'insert': 0})"
1,a quiet treasure -- a film to be savored . ,"('a qui treasure - a film to be aored .', {'total_alterations': 5, 'delete': 5, 'replace': 0, 'insert': 0})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneu sped o uc te wallowing i ib ' eneic angst ( her a a t f sts f r gzig out windows ) ."", {'total_alterations': 30, 'delete': 30, 'replace': 0, 'insert': 0})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('t a car t pre , d unie many rmntic medies , i os not alieat iher endr in e adiene .', {'total_alterations': 29, 'delete': 29, 'replace': 0, 'insert': 0})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('ough only 6 mutes on , e lm s packed with inoration a iprssions .', {'total_alterations': 18, 'delete': 18, 'replace': 0, 'insert': 0})"
1,dense with characters and contains some thrilling moments . ,"('dense th charaers a contan se hrillin omens .', {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
0,too much of the humor falls flat . ,"('o mc f e humor all lt .', {'total_alterations': 11, 'delete': 11, 'replace': 0, 'insert': 0})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it ' a wk b n artist o i control o th his meum and s message ht e can mprovie ke a jazzn ."", {'total_alterations': 23, 'delete': 23, 'replace': 0, 'insert': 0})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""t s not original , n , robbed f h eemet f surprise , t os ' he n ug auhs n s try of irresponsible cs who le to la pranks ."", {'total_alterations': 34, 'delete': 34, 'replace': 0, 'insert': 0})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a washbucking te f ve , btryal , reene d aov l , fit .', {'total_alterations': 19, 'delete': 19, 'replace': 0, 'insert': 0})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""an interetig toy th a rtinent ( cinemacally unique ) message , to frly ll d scored o erfecion , i found msef stugglin o t y iner o at elusive ` missing tng . '"", {'total_alterations': 38, 'delete': 38, 'replace': 0, 'insert': 0})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('t man fm eysin fels is a ld , blissess work that gran along thinking isel sm iportat comen n h if tros u sm beguiling curves .', {'total_alterations': 32, 'delete': 32, 'replace': 0, 'insert': 0})"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('perceptive i its vision o asent industrialized wol plitis s a e art rm , but r o unky , didactic and addld with scns at em simply n l fit r this ovi .', {'total_alterations': 34, 'delete': 34, 'replace': 0, 'insert': 0})"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('t de e wn to wrnc m es o f m he a ss tm at t reen .', {'total_alterations': 27, 'delete': 27, 'replace': 0, 'insert': 0})"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-see f e avi mme enhusist a f anyone w apprciate iteligent , stylh moviemaki .', {'total_alterations': 24, 'delete': 24, 'replace': 0, 'insert': 0})"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('t wiht f the piece , the unring professionalism f the chll oduction , n the fascinati mbeddd n h lur top pro recommendtio enough .', {'total_alterations': 29, 'delete': 29, 'replace': 0, 'insert': 0})"
1,puts a human face on a land most westerners are unfamiliar with . ,"('puts a uma fa on a nd ms wserners e nfmiliar ih .', {'total_alterations': 16, 'delete': 16, 'replace': 0, 'insert': 0})"
1,"minority report is exactly what the title indicates , a report . ","('minrty rert is exact wa h ttl indicas , a rprt .', {'total_alterations': 16, 'delete': 16, 'replace': 0, 'insert': 0})"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('go car ases , gea iht scne , a a dstinctiv blend o uropen , ameian n ain iflences .', {'total_alterations': 25, 'delete': 25, 'replace': 0, 'insert': 0})"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a rgeous , high-spritd musical from iia tt exqisitel leds mui , dae , song , d ih dam .', {'total_alterations': 22, 'delete': 22, 'replace': 0, 'insert': 0})"
0,"not only unfunny , but downright repellent . ","('o only funny , b onright repellent .', {'total_alterations': 8, 'delete': 8, 'replace': 0, 'insert': 0})"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('( lawree bounces ) all er the stage , dancing , running , weting , mopping i fc a geerlly dsplaing h wcy talent ht brght m fame i h irt place .', {'total_alterations': 31, 'delete': 31, 'replace': 0, 'insert': 0})"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","('ds n offer mh besid gb soullessns , rauny language d a series o brutal set piee . ha ise h r o styled screen vioece .', {'total_alterations': 34, 'delete': 34, 'replace': 0, 'insert': 0})"
1,"a poignant , artfully crafted meditation on mortality . ","('a pognan , atfull crafted meditation n mrtalit .', {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""s ` cic liks ' o , this one s pret miserable , resorting to sting-puling athe tn leitimte character dvelpment a intelligt lottng ."", {'total_alterations': 25, 'delete': 25, 'replace': 0, 'insert': 0})"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"(""t ' one ec o a chacter sud - n o hart or davies t f h uniq reltionshp bewen them ."", {'total_alterations': 26, 'delete': 26, 'replace': 0, 'insert': 0})"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"(""i ' hmpred y a lifime-channel kind f ot n a lead actress who is out of e dep ."", {'total_alterations': 16, 'delete': 16, 'replace': 0, 'insert': 0})"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","('at s surprsin about fu rontl s that deite i ert self-awareness , pat f h ove ill mnag o rek ps the artice d thoroughly enae y .', {'total_alterations': 40, 'delete': 40, 'replace': 0, 'insert': 0})"
1,i just loved every minute of this film . ,"('i jt lov eve iute of this fl .', {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
1,a woman 's pic directed with resonance by ilya chaiken . ,"('a wma s i drectd wh resonance y la chaiken .', {'total_alterations': 12, 'delete': 12, 'replace': 0, 'insert': 0})"
0,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('a bythe-numbrs patient/dcto c at cvrs l the usual roud', {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
