label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not sn objectionable h dull fwelm cl it merely lacks everything except good intentions .', {'total_alterations': 8, 'delete': 2, 'replace': 3, 'insert': 3})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not far beneath the sufaceh , this reconfigured tale tasws disturbing questions avbuut hthosek things we expect from military epis .', {'total_alterations': 12, 'delete': 3, 'replace': 3, 'insert': 6})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('eac dumb movie with umq characters joying dumb things and you hquve to rea really dumb nh to eee where this igw gond c', {'total_alterations': 20, 'delete': 3, 'replace': 11, 'insert': 6})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effees and many scenes o weightlessness look as bozd or bter had cfin the original , while t oscar-winnipng xund bd james hrnr 's rousing score make gvod use o hd hefty hodio system ."", {'total_alterations': 30, 'delete': 14, 'replace': 12, 'insert': 4})"
0,teen movies have really hit the skids . ,"('teen movies have rvally hit the ckqds .', {'total_alterations': 6, 'delete': 2, 'replace': 2, 'insert': 2})"
1,a quiet treasure -- a film to be savored . ,"('a qxuiet treasure -- a frlm to l avornd .', {'total_alterations': 8, 'delete': 3, 'replace': 3, 'insert': 2})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends foo much iime wallowing hn ii 's genvraic asbngst m there e a tt of shs of htvr gazing out windows qo ."", {'total_alterations': 24, 'delete': 9, 'replace': 8, 'insert': 7})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has chcr to spare , n unlike many romantic comedies , it does not ayzienate either gender v the audience .tn', {'total_alterations': 10, 'delete': 4, 'replace': 3, 'insert': 3})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('though only 60 minutes long h h fcrlm is pacykad with information and impresnizns .', {'total_alterations': 10, 'delete': 2, 'replace': 6, 'insert': 2})"
1,dense with characters and contains some thrilling moments . ,"('denk with characters and contains some thrilling moments .', {'total_alterations': 2, 'delete': 1, 'replace': 1, 'insert': 0})"
0,too much of the humor falls flat . ,"('too much o tyye humor falls flat .', {'total_alterations': 4, 'delete': 1, 'replace': 2, 'insert': 1})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it u' a work bfw asn artist so in control oh both his medvumb and his messaued that he cta improvise like a jazzman ."", {'total_alterations': 16, 'delete': 4, 'replace': 4, 'insert': 8})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""iyit 's not original p ard ,rp robbed of the eleme of surprise , it does 'jt have agn huhde laughs in its story odpf irresponsible opps who eoe y play pranks ."", {'total_alterations': 26, 'delete': 10, 'replace': 3, 'insert': 13})"
