id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('nsc a objectionable r kdulml fima ;tf idx erelj lackz verythin ecect goorw intwtions d', {'total_alterations': 28, 'delete': 9, 'replace': 11, 'insert': 8})"
1,1,positive,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('lotm far bendeat pe sukcace j thdqs remnfigured alt akzks disiurbinv quetios aot bhfose tthins yde xpesct ro ilitaey wepicw .z', {'total_alterations': 40, 'delete': 13, 'replace': 17, 'insert': 10})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('d dumbek meoie wfitrh duc charaactfrs doijg dzum thngs gnx yox pkave to b ealyy uumlb wot to eg where twvs fi vgoinig l', {'total_alterations': 42, 'delete': 11, 'replace': 16, 'insert': 15})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('qe specimal effects arno maany sceknes yof weightlessness look asrn good or getter thcan misn qhe zrigxnal dt vile ze oscar-wtinnig sofd cnt james hornehrb ksh osing scgjre maxfe od be of hem hlzfty dio msystem g', {'total_alterations': 62, 'delete': 15, 'replace': 25, 'insert': 22})"
4,0,negative,negative,teen movies have really hit the skids . ,"('xeeen mpovces hvv aealy hu tie wskicds fl', {'total_alterations': 16, 'delete': 4, 'replace': 6, 'insert': 6})"
5,1,positive,negative,a quiet treasure -- a film to be savored . ,"('l udet tmeaure t- lx filmit tbo sn savre dg', {'total_alterations': 20, 'delete': 5, 'replace': 9, 'insert': 6})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villenexuvre spendas po mudh zme wallowing i dibi qn's ghenric ngst v yheae lr y lyok loj shohs o em gazing ct wbnmdows rz ul"", {'total_alterations': 46, 'delete': 12, 'replace': 20, 'insert': 14})"
7,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('t has chair ro sqware sm, rna unlikeym megy romyaatic tomedies ni gt qohes n olieate eitacr ceder ip tse yauience zy', {'total_alterations': 42, 'delete': 12, 'replace': 14, 'insert': 16})"
8,1,positive,negative,"though only 60 minutes long , the film is packed with information and impressions . ","('tough fxnly q minutes tonc az t film sp packed win informatfon snd impjressoons m', {'total_alterations': 26, 'delete': 9, 'replace': 10, 'insert': 7})"
9,1,positive,positive,dense with characters and contains some thrilling moments . ,"('dkncse oit mharacttrs adf dcotains pome thrilvng jomnts qu', {'total_alterations': 18, 'delete': 6, 'replace': 7, 'insert': 5})"
10,0,negative,negative,too much of the humor falls flat . ,"('te uc af oe oujmor eflalls dflfat ed', {'total_alterations': 16, 'delete': 5, 'replace': 4, 'insert': 7})"
11,1,positive,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"('qis rs d ork bwyy g arwivst go rna contrb o boxthq hsds ediu dd his mwsage thjt q caf impruvis xikep g jvzman j', {'total_alterations': 48, 'delete': 13, 'replace': 24, 'insert': 11})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""iwtu bs nonrt grigijnal g nhd a rooed f iwe eleient e surpri l jh dopo n't hdve dny hhuge lhakughs iv itcas stoyo mf thresponsible cpc whoft lovv ntfo lad praka x"", {'total_alterations': 64, 'delete': 13, 'replace': 32, 'insert': 19})"
13,1,positive,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('e swoshbuckaling qtavle fof ljoe b btraya qv, revenge and wabovem bl eu faith fq', {'total_alterations': 26, 'delete': 6, 'replace': 7, 'insert': 13})"
14,1,positive,negative,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""at intkfresting srtoy cih sf erdtinent h(d cibnematcally unqe v mewage li to fadrry welo mland tcred tivo erfection dm ua und vysel ituggling fjo put ey finwr jo tha elufibe yg miseng thig q ''"", {'total_alterations': 70, 'delete': 25, 'replace': 24, 'insert': 21})"
15,0,negative,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('hthm an rm belysiaq fielld sas rw clod ,rj bliss-ls wozyrk tai jrons aluodg thinkinm ixsel swoze mportnt cmfment own hws ngife thrns uco zsole beguliing rures ce', {'total_alterations': 56, 'delete': 17, 'replace': 19, 'insert': 20})"
16,0,negative,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('peerceptite inmc its vviion yo nasnnt ndustrializep worylcd lpolitibcs b baf nfw aertb fod f zbut vfr os coluny q,l didadtaic ahnxd sadlef wmtch stenes tmhat seemgg simply ywn il fi fronr hiy oie mz.', {'total_alterations': 66, 'delete': 18, 'replace': 15, 'insert': 33})"
17,0,negative,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('tn zde fe wn s ench mdm eyes xuts jf tmyz head tnrd cuoss tie gatt thec screen n', {'total_alterations': 34, 'delete': 10, 'replace': 12, 'insert': 12})"
18,1,positive,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('mi kmust-se mfr td dzavd mdfmet enthuast wanf ffs ayoe hwo aappeciates intelllignt u wtllish movxiemakint an', {'total_alterations': 34, 'delete': 11, 'replace': 12, 'insert': 11})"
19,1,positive,positive,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('vie weigfh fa jthw piueuce ,a h unezrrng pofesasionalism of thwg cilll production qt qnd e faoscnation ymbedded in txhse lurid todi erole recommenhration eoug re', {'total_alterations': 44, 'delete': 14, 'replace': 14, 'insert': 16})"
20,1,positive,negative,puts a human face on a land most westerners are unfamiliar with . ,"('pat aht huavn facpu xobn a lmanv ms wsternesrs de unfamilic wiuh iz.', {'total_alterations': 26, 'delete': 9, 'replace': 5, 'insert': 12})"
21,1,negative,negative,"minority report is exactly what the title indicates , a report . ","('mnoritzy retout is ekxacqtly whxbt h oiile ijdicwtes v,r ce reupoet y', {'total_alterations': 24, 'delete': 4, 'replace': 11, 'insert': 9})"
22,1,positive,negative,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('gob cr chaso z, tgrejt fhght scegnesl xs d jha distintiveu bcen fq ujopean sr amerqicad aniyd avian influenses mi', {'total_alterations': 40, 'delete': 11, 'replace': 13, 'insert': 16})"
23,1,positive,positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('ci girgeousf yn hygh-spirted muqzical fromfx iiia thust lxqbuisitely lendm muvi cv danece qg hsong ao ando hfg doraa n', {'total_alterations': 40, 'delete': 7, 'replace': 17, 'insert': 16})"
24,0,negative,negative,"not only unfunny , but downright repellent . ","('bot ony unxunvny oj but dewnrigh repelelnt .ie', {'total_alterations': 14, 'delete': 4, 'replace': 4, 'insert': 6})"
25,1,positive,positive,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('b olwrence bounces i eall govr e stage ,yi duanncing , runnxng p seatin qe mozping shrs xce aibnd gelneally isplajing ie wacf aalent that gbronught m fam h h firrzst aplae hr', {'total_alterations': 62, 'delete': 24, 'replace': 14, 'insert': 24})"
26,0,negative,negative,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""doeza hn't offev euuch qblesides glibd foullessnes i runnchy lguage add aa seziels q bruapl st piecs . thabt rtse h btr monp stplzed pcreey volenece ku"", {'total_alterations': 54, 'delete': 17, 'replace': 20, 'insert': 17})"
27,1,positive,positive,"a poignant , artfully crafted meditation on mortality . ","('u ppignanl o aytvully cjxafted medsitatvion z ortality hs.', {'total_alterations': 18, 'delete': 2, 'replace': 11, 'insert': 5})"
28,0,negative,negative,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","('ab dr chvyick flgicks yk f c tid e u bpmetty mierabe tk resortipn f rtrng-pulling rpthr phkn legiticaze character development anra itelligen oplowtting en', {'total_alterations': 48, 'delete': 14, 'replace': 21, 'insert': 13})"
29,1,positive,positive,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"('ut sc goe heck np ua cdalracter suudyd -- go mof hear eo dqavees tust kor tec yniquq relalionship baetkeen thgemd p', {'total_alterations': 42, 'delete': 8, 'replace': 19, 'insert': 15})"
30,0,negative,negative,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"('nyit mz hampee q adn lifstime-chanwnel yitd x ply pqnd xt feag actrzs who vqs out uofj hprq qdnpth q', {'total_alterations': 36, 'delete': 6, 'replace': 18, 'insert': 12})"
31,1,positive,negative,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","(""cwdat 's suprisihg abouxa bul frontal s tchad espit itot fvertk self-awprenss a poartsj nyf t mgosvie silz mneage thv breokm past ke rtifce anzb throughls ngagde vyou wj"", {'total_alterations': 52, 'delete': 15, 'replace': 20, 'insert': 17})"
32,1,positive,negative,i just loved every minute of this film . ,"('i juiust lopedv evpry mioute ozf the ilfm xo.', {'total_alterations': 16, 'delete': 3, 'replace': 5, 'insert': 8})"
33,1,positive,negative,a woman 's pic directed with resonance by ilya chaiken . ,"(""aqh wola b' zfic diecteq with resonncc b bilka chaikt .bj"", {'total_alterations': 22, 'delete': 7, 'replace': 7, 'insert': 8})"
34,0,negative,negative,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('ak byt-the-nurbers patien/docor miz at ccvern almh thb usll gryhnd', {'total_alterations': 20, 'delete': 6, 'replace': 10, 'insert': 4})"
35,1,positive,negative,michael gerbosi 's script is economically packed with telling scenes . ,"('mfcael ogerbdsi ti secipt is econnmecally packz with tellin sgcbenes r', {'total_alterations': 18, 'delete': 4, 'replace': 10, 'insert': 4})"
36,1,positive,negative,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","('ttmre t somethzg aospicxous , and fdarng o, so kc xbout hne artttic inttinct traot pubhs d majcority-orientes director li stewvn spielbdeg fpo follofw .i.m wjite thn cllenging riporzt a lale eito unngrpve qae majourety i', {'total_alterations': 66, 'delete': 19, 'replace': 29, 'insert': 18})"
37,1,positive,negative,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","('a. ah jnun liitl ltmewaster b helged zspecihlly pb ehwe jrool piesenc o jduan reno ac', {'total_alterations': 30, 'delete': 6, 'replace': 16, 'insert': 8})"
38,0,negative,negative,but it 's too long and too convoluted and it ends in a muddle . ,"(""uto iobt 'sbh to gonp avjnd o convollvted anj it ds ieni xe udle ."", {'total_alterations': 28, 'delete': 10, 'replace': 5, 'insert': 13})"
39,0,negative,negative,a valueless kiddie paean to pro basketball underwritten by the nba . ,"('asj vauuless kide saeadn ndo xo bamsketall udferwritten d oe nd qs', {'total_alterations': 24, 'delete': 9, 'replace': 8, 'insert': 7})"
40,1,positive,positive,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ","('qe simpke j bcut iygritty axn wxelle-acted ensemxbyle tama qhai engompases a potknt metapoopr yr a condry stiflhl delring wtr cs fascist pasg ix', {'total_alterations': 46, 'delete': 13, 'replace': 14, 'insert': 19})"
41,0,negative,negative,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,"('t. aq storing parze of taing had aj twfchnical gbbbedish thawz will y itte u akdance the ianux pcnuse k', {'total_alterations': 36, 'delete': 13, 'replace': 16, 'insert': 7})"
42,1,positive,negative,"if you 're hard up for raunchy college humor , this is your ticket right here . ","(""im yg 'ki hard u flox raunchy acollege cumory kt tqzis a youge tckit rght hbern i"", {'total_alterations': 30, 'delete': 5, 'replace': 18, 'insert': 7})"
43,0,negative,negative,the problem with this film is that it lacks focus . ,"('ke pvrobem wt hics fimp iw thfax kc ulacks feoqcus m.', {'total_alterations': 22, 'delete': 7, 'replace': 6, 'insert': 9})"
44,0,positive,negative,"an absurdist comedy about alienation , separation and loss . ","('aa absurdist comety aboutn alenaetion sn sezxration acnd fmoss x.', {'total_alterations': 18, 'delete': 1, 'replace': 11, 'insert': 6})"
45,1,positive,negative,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ","(""ja hodap eind exverty sexs , thp ppochet cmxe vpyits time etwen an minbuze-by-minute baccomunt oow thrne brittuh cout 's extrvaditioi zhqss ayme wndw thuue revimwe 'sd talkinhhead sarvivos di."", {'total_alterations': 56, 'delete': 10, 'replace': 22, 'insert': 24})"
