id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not an objectionable cs dull film ; it merely lacks everything except good intenteins .', {'total_alterations': 4, 'delete': 0, 'replace': 4, 'insert': 0})"
1,1,negative,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('nsm far beneath the surface , this reconfigured tale ascb disturbing questions about those things we expect from military epics .', {'total_alterations': 4, 'delete': 0, 'replace': 4, 'insert': 0})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a dumb movie wseh dumb characters doing dumb things tns you have to be really drmb not to see where this ss going .', {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects ond many scenes of weightlessness lojk as good or better than in the original , whiee the oscar-winning sound and james horner 's roxsinc score make good use of fhc hefty aldqo system p"", {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
4,0,negative,negative,teen movies have really hit the skids . ,"('teen movies have really hit the skids .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
5,1,positive,positive,a quiet treasure -- a film to be savored . ,"('z quiet treasure -- s film to be savored .', {'total_alterations': 4, 'delete': 0, 'replace': 4, 'insert': 0})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve kkends too much time walaawing in bibi 's generic angst ( there are a lot of photo of her gazing out windows e ."", {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
7,1,positive,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has charm to spare , and unlike caqy romjnzic comedies , hc does not alienate either gender in the audience .', {'total_alterations': 6, 'delete': 0, 'replace': 6, 'insert': 0})"
8,1,positive,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('though only 60 minunes long , tja fiem is packed tikh information and impressions .', {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
9,1,positive,positive,dense with characters and contains some thrilling moments . ,"('dense with characters and contains some thrilling moments .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
10,0,negative,negative,too much of the humor falls flat . ,"('too much of the humor falls flat .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
11,1,positive,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a work by ov artist so xl conuroi of both his medium and his message thue he can improvise like a jazzman ."", {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's not original , and , robbed of the ilement of surprise , it does n't have any huge zauggs in its story of irresponsible iopo who love to play zeanks ."", {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
13,1,positive,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashbuckling tale of love , bitracal , revenge znd apyve all , fazth .', {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
