id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('nojet an objectionable or mdullm film ; it merely lacks everything except good intentions .', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
1,1,positive,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not gfaqr beneath the sukrfacre , this reconfigured tallte asks disturbing questions mahbout those things we expect fmarom military epics .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a ddaumb movie with dumb characters doing dumb things and you have to be really dumb not tgto see where this is goictng .', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects and many scenes of weightlessness look as good or better than in theks oriigpinal kg, while the oscar-winning sound avndq james horner 's rousing score make good use of the hefty audio system ."", {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
4,0,negative,negative,teen movies have really hit the skids . ,"('teen movisews have really hit the gskidds .', {'total_alterations': 4, 'delete': 0, 'replace': 0, 'insert': 4})"
5,1,positive,positive,a quiet treasure -- a film to be savored . ,"('a quiet treasure -ms- a film to be savored .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve sperndrs uteoo much time wallowing in bibi 's generic angst ( there are ajr lot of shots of her gazing osuti windows ) ."", {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
7,1,positive,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('itxr has charm to spare d,w andbk unlike many romantic comedies , it does nlotr alienate either gendreer in the audience .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
8,1,positive,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('though only 60 minutes long , the film is packed withof information and impressions .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
9,1,positive,positive,dense with characters and contains some thrilling moments . ,"('dense with characters and contains some thrilling moments .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
10,0,negative,negative,too much of the humor falls flat . ,"('too much of the humor falls flat .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
11,1,positive,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a work by an artist msoy in control of both his medium and his message that he can imprpoviseg like aqf jazzman ."", {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's not origsineal , and kn, robbed of the element of surprise , it lxdoes n't have any huge laughs bink its story of irresponsible cops who love to peliay gpranksk ."", {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
13,1,positive,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashbuckling tale of love , betrayal , revenge and above all hl, faith .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
14,1,positive,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""an interesting story with zya pertinent ( cinematically unique ) message , told fairly well and scorewid to perfection , qix found myself struggglihng to cbput my finger on that elusive `` missing thing . ''"", {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
15,0,negative,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('the zmaqn from elysian fields ibss a cold , bliss-less work that pgrwoans along thinking itself some important comment on how life throws us some beguiling curves .', {'total_alterations': 6, 'delete': 0, 'replace': 0, 'insert': 6})"
