id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not an bjecionable or ul film ; it merely lacks verythin except go intentions .', {'total_alterations': 8, 'delete': 8, 'replace': 0, 'insert': 0})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not far beneath h surface , this reconfigured ta asks disubing questions about those things we epct ro military epics .', {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a dumb movie wh dumb charters ong dumb thgs d you he to be rell dumb not to e wer ts is ong .', {'total_alterations': 22, 'delete': 22, 'replace': 0, 'insert': 0})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects and many sens of weightlessness ok s good r better an in the original , whe e oscar-winning sud n james hrnr ' rusin score make good e of the hefty audio system ."", {'total_alterations': 23, 'delete': 23, 'replace': 0, 'insert': 0})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('teen movies have raly hit e sks .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,"('a quiet treaue -- a film to e savored .', {'total_alterations': 3, 'delete': 3, 'replace': 0, 'insert': 0})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""illenuve spends o much ie wallowing in bi 's geeri angst ( there are a lot of shots f her gazing t indow ) ."", {'total_alterations': 15, 'delete': 15, 'replace': 0, 'insert': 0})"
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it h chr to are , and unlike an romantic comedies , t do t alienate iter gedr in t audine .', {'total_alterations': 21, 'delete': 21, 'replace': 0, 'insert': 0})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('though ol 60 minutes long , the film i packed with nforation n mpressios .', {'total_alterations': 9, 'delete': 9, 'replace': 0, 'insert': 0})"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,"('ens th characters and contin om thrilling moments .', {'total_alterations': 8, 'delete': 8, 'replace': 0, 'insert': 0})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('too uh o t humor lls flat .', {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"('t s a ok by an artist s in cntro f bh his edim and his mesge tt h can improvise like a jazzman .', {'total_alterations': 17, 'delete': 17, 'replace': 0, 'insert': 0})"
