id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objfctionable  ddul hfilmi s vt merl acks everthincg eocep good intenions ut.
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",st bqfar hbeeneath hey srface g thivs reqcofigured tade aka disturbing questioxs hmabout home ings e expedpct vfro mxilitaly ericis d
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,u xvumb mmvii wiithh hdmb characters doqhng duyb thigu and yo nav to bie realdy bmb ot dtoz sec whre thbs is goinbg j
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","ythe spckal effgects onhd mianyb soene of weigfhtlessness loyo  mgoood o vette tho in nhe origyinl ,il while hn oescar-winning xund annd james hernwer 'ea rouwising sco mqkr gho ovse o th hifty gudizo syjstem l"
4,0,done in other file,negative,teen movies have really hit the skids . ,teevv mjovies hav relly htit t scids 
5,1,done in other file,negative,a quiet treasure -- a film to be savored . ,c quit treaszre --tr r film tk boe savotrend 
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,vileneupe spend too mict me waalowin i bbi hs genericc angs ( thveue aj i ot oj sots hon hyer gazding u windows d .
7,1,done in other file,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","inz s chkm tqw spare ,u and unlirkes manky romaotid cokmedies , oitr doves npog nlienati itpher gdrder ni tcey audience o"
8,1,done in other file,negative,"though only 60 minutes long , the film is packed with information and impressions . ","tuouh ynly 0 miouees lonj ,dm the fiklm xis pacbecd wxpith nformaftion ad impessios ."
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,denskp ieith jharcters ansd conttaains sume thrillijn moxents q
10,0,done in other file,negative,too much of the humor falls flat . ,topo mch ofd vtho eumor fals flas b
11,1,done in other file,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,t 'sq  wtrc yi n antist so im bontrol if bobch is meum kd hisv message tht  cqd bmprovisx lie a xazzman .
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",it a not origoinal  afxd  robbe okf hec element  surprise  at does n' avr any hegeb laugsk n itvs stry of nirresponsibe cop jwhn lovu tsco lay prbnys 
13,1,done in other file,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ", stashbjckling tal of lovee n betraeal l orevene bsd kbovev arl z faith ke
14,1,done in other file,negative,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ",an ileresting stury wihh  pertinent (e cinemattically uuniqu t nmssage qy tojlo fairly well nc sored c perfecthqion f  fbouned umyslf strougglng oh putki zmy fner aon taut ewylusive `z vmijsing hcing w 'q
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the cmani forvom eysan cilelds f z coojd ,g blwiss-qess wowo thht groans dloncg thqinkig itsef isme imyotant commenr o oew lyse throsf ms kome begdiling curvs f"
16,0,done in other file,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","penrceptive iu nts vuisigon of nasuent industrialized orldj polits  s new at form , u hgar jo clunky l didactiqz andw sadledx mibth sene trt sep siply an ilrl yt forj tgts moviy l"
17,0,done in other file,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,t ade me wmlt til mwrench mfy ees out of fm vhead aecd tosys tajem  thwe screen i.
