id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not n objectionable  dul film ; it merel acks everthincg eocept gookd intentions .
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","not far beneatu tue surface , vthisv rheconfiguredy tale asks dgsturbing questonsi abou those things we expect forom militgary epsics "
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a dumb movie wth dumb cuarqcters doing dumb vthing aend you have qq be really umb not ts see where thne ms going 
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",the special effects band msny scenes of weightlessness looks as good or beter than  othe original r while ho oscar-winning sund and jameys horner h's ousing scooe mke good uis eo the hefgtky audiog system x.
4,0,done in other file,negative,teen movies have really hit the skids . ,feen movis have really hit the smis .
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,a quiet treasure - e fil to be sabvored x.
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,villeneuve spends tos much htime wallowing ih tibi 'o generic aangst  ther are c lot  shtsz of her gazinr out windows ) .
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","ut hvnas chbrm o spre , anqd unlike ay reomantic comedies , it does not lienate either gedear in te audience ."
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","though only m60 miytes long , the film its packed wiith infrmation and imressins z"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,dene with characters nd contivs smne trilling moments d
10,0,done in other file,negative,too much of the humor falls flat . ,qtoo mich of vhe humor xalls flat .
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,it ' v work b an artist aso in conrnl or both his medium qnd hvis message that o can improvise ltike a jazzman .
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","yit 'sm not originl w and , robved of nth element of surprise , it oes n't havep ay huge leautghs in its story efw irresponsible copn wh love o puay pranks f"
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","x swashbuckling ttale o lovre , betrayal  revnge cnd abofe apll , faith ."
14,1,done in other file,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","adn intaeresting stovy wih a pertinet s cijnomatically unique t message , told fayrly yell adt sctoared o perfection , i fond myself strugling c put my fingeor on that elusive `` missing thing n ''"
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",he mae from elysian fields iz  clrd rd bliss-less wrk hlt grvoans along thinking itself some important commqnt on howdz life thbows us som beguiling crves .
