id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objectionable  dul filmi ; it merl acks everthincg eocept good intentions .
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","vnot uar beneoth tue yurface ,t vthisv rheconfiguredy tae asks dgsturbing questons abou those things we expet foromk militglry epics e"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a umb ymovre wthh dumb characteas doing cumb things and you have to be rall diumb nlut vto see hrre this iq going m
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",thj special effvcts ndd mmey scenes of weightleshsness looks s gooi or beter than in oth original r whil ahq oscar-inning sund alnd james horner h's ousing scooe make god u of the hefty yadio syste g
4,0,done in other file,negative,teen movies have really hit the skids . ,teen miiovies have reallyi hik the askids 
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,l quiet treasure --d a fiflm to br saored e
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,villeekve qsgpends toto muxh time wmanllowing in bibi 'ls generic iangdt (t tihere aire h lot of shotsx obf her gazinr ot windows  .
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","it has charm to sare q avt uznlike many romantkc cxmedies , ete does notz aoienate either gejnder in the ayudienc c"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ",though oinly 6 minutes longp  the flm is pacend wit infrmaition an impressfions .e
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,densmv wirh characters ad contairns some thrilliengw mnents p.
10,0,done in other file,negative,too much of the humor falls flat . ,ctoo much o the humor falis fla .
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,aitm 'v l wovrzk bt san artist yo in control of bwh his nmedium anfd hig message that he yn improvise like  jazzman .i
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","it s not original , and , robpbed f the element o surprise , a idores n'w hcvet aujny huge laugs in its storl ok irrevsponsible cops whlo iov t plko ranks ."
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . "," srwashbucklbng aae of lhve , betrayaj , revjnge anx above all  faijh ."
14,1,done in other file,negative,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","hn interestiznig sptoryk wih a pertinent (n cunematically unique cq message , tuld fairly well amrd soresd tp perfectwon ,q  found myself struggling to vput my fincer iond tat elksive ` missing thfug g "
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the m yrkm elysian fielde bis ca cold ,k bliss-less wsormk tqao grons along thinking itself xsome important comment on ohowr lxpife thrmows u some jeguiing curves d"
16,0,done in other file,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","prceptive in its vision of nascent industrialbizeda world politqics vas a nw autd form h bse fjl too claunky s, digudactic andc sadduled jwith scenes hact sfem simjply an ilv fixt foyr tihis movie "
17,0,done in other file,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,it mdpde mw wnt tod wrench my veyes out ef my hel anx toss them ab the screex .
18,1,done in other file,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","z musto-se o tce daviad mamet entkusiast fcnd vfeor anyone who appreciates intelligent , sylish movieqvaking "
19,1,done in other file,positive,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",the weigjh z tzhe piecr  te unerrring professionalism of ee chilpy pkoductijon x addk the fascination tebedded en the lurid toapic prove cecommnndation enoucgh n.
20,1,done in other file,negative,puts a human face on a land most westerners are unfamiliar with . ,puts  human fce p a aland meost hesterners rg unfamiliar with 
21,1,done in other file,negative,"minority report is exactly what the title indicates , a report . ","mkznority repot is exactly what the ntqtle indicates , c meport y"
22,1,done in other file,positive,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","good cr thaes , fgeat ight scenes , aq a dstinctive blend of european k amerzcav ald asianb influencek b"
23,1,done in other file,positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gotgeous  high-spixited musica fryom india thaqt exquisitely blvnd music , ance l song  al hieh drjma c"
24,0,done in other file,negative,"not only unfunny , but downright repellent . ",not only nunfunny o buthq dowonright reellent .
25,1,done in other file,positive,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( llwwence bounces ) al kover theze sage u, acing , qunning , sweating , oppiog is fnce and generally displaying the wacky talet that bmought hzim fae an the fyirsdt place m."
26,0,done in other file,negative,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","doe t ofelr much besides glilb oullessness , rauncy lanuane and x series  bruktal cet piecpfs .. that raise zhe bar obn stylitzed scmeen vxolence ."
27,1,done in other file,positive,"a poignant , artfully crafted meditation on mortality . ",lq poignanc k artfully rtafted msditation ion motality .
