id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objectionable  ddul filmi  it merl acks everthincg eocep good intentions .
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",vnt ar beneath he surface u tis reqconfigured ttal akst dgsturing questions about thomse thing e expedpct fr mxilitgary epicis e
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,s qduma mfovie wih dumh characiers doivngw du orings and you have to me really ddumby not f see where hid is going .
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",uhe spcial effvct fanb mny scbnes ot weightleshsness hloook s mgoodw or better tvhan n tnhe oibinal v while ethe oscar-ining isound d jams horner s rouising ccore make goo uf of the heft auioz stem g
4,0,done in other file,negative,teen movies have really hit the skids . ,qteen moxies habe veally hin thd sikids .
5,1,done in other file,negative,a quiet treasure -- a film to be savored . ,a quie trmasue -o a firm to qef savojred .
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,villeneuve opends too much yme wallowionog i wbi 'si generirc gst ( there ywre r oot of ghots lf her gazing ut wihows p) .uh
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","aix hs charm to spare st, ay ynlke mtanay romantmc comedies , i does not alionate either geer crn hed audincf z"
8,1,done in other file,negative,"though only 60 minutes long , the film is packed with information and impressions . ","thfugh onu 60i mikutes lyongi , qhe fikk su packyed witp cnformation and ipressions n."
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,denpe wihth haracteds n copains me thrilling ioments i
10,0,done in other file,negative,too much of the humor falls flat . ,tod much ocf toe humor falls elat j
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,iti 'sk az wirk y aun artist sos hn cotrjl of both his medipm an hisl message that e an impnovise like q jazzman 
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","h 's not original k and ,d uobbed owf ehj element of surprise , it dyres n't have any huge laurs iji its stouy g irresponbsiblk fop who liove q pay prarnk vp."
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","u syashbuckling btae oo lovj ql befrayal , revnge and oaxbove al , faith ."
