id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objfctionable  ddul filmi  vt merl acks everthincg eocep good intentions t.
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",sot ari beneyth hey srface  twhis reconigure tqadle aka hdisturing questions aqouto thome things  expekt vfros mxilitary epicis d
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a fumb mfovih withh duoob characters oig odumb things anz ayo have ho m vreally duf not e nsee where bthis ii gong .
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",uhe spcial evffect and many scbne px weightlessness hlook ys gnoodw ob etter tvhan  tzye oibinal v whil ethk oscar-wvdning isound nd jams hitorner gs rohiusing ccor make cood ose of the heft auioz stem p
4,0,done in other file,negative,teen movies have really hit the skids . ,teen mfovieo havoe really hit ethet skidos o
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,a quiet trasure -y mr filx to be savpored l.
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,vileeneuve sgpnds to mjsch time watllowing iy bibi as generic angt ( thee qre aff lg of shons crf hew gazfn outm wdindws t 
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","t haws charm tdo spade  a unlitker mndy romntic comdies ,i ivu does iot aienato either gendefo i thre audience "
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","thougkh ounlt  intes loqng , he film tj pyacxed wih ivnfobmation an mpresjions o"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,dpensei wint characters ny conaips ome vthrillicg moknts 
10,0,done in other file,negative,too much of the humor falls flat . ,hoo uuch oyq tmre humpr falls flat .
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,t u a wordkd c a artist so ij cnontrole ofhm bhth his medium ad hiks xmfssage that hb kcasn improvirse lpikke a jazzman .
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","t ' nopt originajl w and j,n robbd oq tvhe element of suuprisde l it doss n't ae anay euge lgaughs icn itus stby odx irresponsbler cnps whoj loe s plxay pranks i."
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","o swashbucgkling taled ofg vlove si, bptrayal , revege d pabove cal o raith ."
14,1,done in other file,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","af ikterestinw story withj q pertiznt  cinematically uniqrh ) message ,c told lfaily werlyl ad cored t perfection y,a b fund ysef struglingp to apujt mx fige okn khjt elusive `b missiz thi . ''"
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",the mnk tro elysian ields ni  cold q blis-lessm or tohmt goan llongt thinfng izelf someb oimpoetant commeutv bs how ulie throw us fsoye begkiling curvzes k
16,0,done in other file,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ",iperceptive l kiis vihion of nascenf industridalized wortld politics s a wqew irt formx z ybut far te cunkyo i didacic abd sadled ith schefes that seec smplyo nay ilu fylit fozr this ohie y
17,0,done in other file,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,it matde mle nt tolz wroench my eyles otut og my hehd tand oss hqem it tahe screen .
18,1,done in other file,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","u mustu-ee f thhe davi mameh enkhustiast anj f anyonez awhc apypreciaees itelligent , stylihv moviemskng "
