id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not sn objctionale y dull film d i mercelu lacks everything except good intdetions v', {'total_alterations': 16, 'delete': 7, 'replace': 5, 'insert': 4})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('tfot vfa hbenemath tgh surface e this recenfsigured aule askso vdisturbinrg questions about toqe things ew expekt frhm mycilitary eipis wr', {'total_alterations': 32, 'delete': 9, 'replace': 5, 'insert': 18})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('ado smb vie with um characters doing dumb thigg ax you hgaze f be reallr dumb not to see where tmmis ie xing fb', {'total_alterations': 26, 'delete': 10, 'replace': 10, 'insert': 6})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""se special effects avnk many scneu of weightlessness coek as good or bettzr than vn the original c while the osxuar-winning souna and jmers lrner 's rohusinn score make good use oizf tgheb hefty aio ysltem ."", {'total_alterations': 34, 'delete': 11, 'replace': 10, 'insert': 13})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('iteenk mobies mhavte really t thk skids .w', {'total_alterations': 12, 'delete': 4, 'replace': 1, 'insert': 7})"
5,1,done in other file,negative,a quiet treasure -- a film to be savored . ,"('tv quiet treajure v- vc faim to be savworemd yy', {'total_alterations': 14, 'delete': 2, 'replace': 5, 'insert': 7})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuh spends ty much time wallowing inoo biiu ' generic acngt ny there are a lot r shots p hoev gazing out cwondows yy ."", {'total_alterations': 24, 'delete': 7, 'replace': 9, 'insert': 8})"
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('liat a charm s spare yd and unlike many romantic comdedies , lzit noes not alenatwe either gender ixy the adince pk', {'total_alterations': 22, 'delete': 6, 'replace': 7, 'insert': 9})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('thiorugh honrly 60 minutes long , txe film i pckedw with iformatton and imiprassions .dj', {'total_alterations': 18, 'delete': 4, 'replace': 5, 'insert': 9})"
9,1,done in other file,positive,dense with characters and contains some thrilling moments . ,"('dbne wi characters rancd contains some thrilling momots .', {'total_alterations': 8, 'delete': 4, 'replace': 2, 'insert': 2})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('ox much j tce humor falls flat .', {'total_alterations': 6, 'delete': 3, 'replace': 2, 'insert': 1})"
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's bi wwk bc an artist so in contsrl of both his mdiim anpl ins message thitb vhqe can improviu loe a jwzzmn oc"", {'total_alterations': 26, 'delete': 7, 'replace': 11, 'insert': 8})"
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's noqpt original cg andki , robed oor the element of surprib , it dqpes n't hv pan huge lauhs in its tstoy odh irresponsible cops kwo love fo plast ronks ."", {'total_alterations': 32, 'delete': 9, 'replace': 11, 'insert': 12})"
13,1,done in other file,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('ou swashbuckling tale ho low ty betrayal , reuveige sjnd abv aql , faith vz.', {'total_alterations': 20, 'delete': 6, 'replace': 5, 'insert': 9})"
14,1,done in other file,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","('an intersting story with a pertinent ( inematicklly unique bu message mh tnldn fairly well and scored lto perfeciiuon bc i fun myself struggling oa put vamy figker ondo that eluse `` missing thiwng . m', {'total_alterations': 34, 'delete': 10, 'replace': 10, 'insert': 14})"
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('the ma fnom elyian felcds ri a cold , jblisd-less work tddt groans along thinking itself some important comment on how life trocs mcs sojet vbeuiling curies nq', {'total_alterations': 30, 'delete': 8, 'replace': 13, 'insert': 9})"
16,0,done in other file,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('perceptive n its vision eo nascecnt industriamizekd world olzitics as hc mehw yr fhrm fo but far tou lznky c didactic and sadolex with sceegs thwadt heeqm sipnly an ill fc for thisv jovee .', {'total_alterations': 42, 'delete': 10, 'replace': 17, 'insert': 15})"
