label,original_text,attacked_text,status
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,nuot s objfctionable  ddul hfilmi s ve merl acks everthincg eocep good ivntenions ut.,"{'total_alterations': 29, 'delete': 12, 'replace': 7, 'insert': 10}"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",sozt ard benfeatr hue surasce  this reconigure trale aka dlsurbing qunlstions hmabout hoso thind wy elpefct frdo xmxilitary eics ,"{'total_alterations': 42, 'delete': 15, 'replace': 12, 'insert': 15}"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . , dumb mois with um charactrs ding htumb thicngs and yop hpve o ea realxx dmb not kto seg wherx thi itse gging j,"{'total_alterations': 37, 'delete': 13, 'replace': 15, 'insert': 9}"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","de sppial efecvts axzd danw scevgs  weighlessnesg ok  od rj beter han ixp hem oiginal l,w wqivle dhe oscarwinningv soknyd and waes hgorcer ' uousijg screl uakq god pse t thwse hefftyi audo sysftezm .eq","{'total_alterations': 68, 'delete': 25, 'replace': 22, 'insert': 21}"
0,teen movies have really hit the skids . ,teon moviesse havwm lreall it tle skdx ,"{'total_alterations': 13, 'delete': 5, 'replace': 3, 'insert': 5}"
1,a quiet treasure -- a film to be savored . , quietq teasure - zl film ox be savore .,"{'total_alterations': 13, 'delete': 6, 'replace': 3, 'insert': 4}"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,vivlleneuve spnds tolr hucch tcm hallswing ier zbi  geneic ankfst wp thvr arre ba lt of hotps nq her gainwg out windwds r .,"{'total_alterations': 40, 'delete': 13, 'replace': 14, 'insert': 13}"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","iva has arm  spaa fd an tunlwike ma rjmantiz comredies l,b nn udoesl nn amiendte eiptherh gender in ltle oudjence e","{'total_alterations': 36, 'delete': 10, 'replace': 13, 'insert': 13}"
1,"though only 60 minutes long , the film is packed with information and impressions . ",togh etonly yv mnuges lhon  ntbe wfil ss aked dih infirmeation anq impressions .,"{'total_alterations': 28, 'delete': 11, 'replace': 9, 'insert': 8}"
1,dense with characters and contains some thrilling moments . ,zdgnse fit characted bnd ontakins soxe thriglinq mnoments u.,"{'total_alterations': 18, 'delete': 4, 'replace': 9, 'insert': 5}"
0,too much of the humor falls flat . ,bo mbch o tt humor fqllsv lal .,"{'total_alterations': 11, 'delete': 4, 'replace': 6, 'insert': 1}"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,hih ' x wgorh y amz awrtist o u contreol of bwth s medium aend h messaghe qthatf hvke an improvizse likwef y jazzman k,"{'total_alterations': 36, 'delete': 12, 'replace': 7, 'insert': 17}"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ", 'wx t original y asd  robbsd oh e elemegt o surprie r i dots 'xt hohe azb ge laugt j is fqory f irresponuble cupls ws loe tg pala pbanks .,"{'total_alterations': 50, 'delete': 23, 'replace': 21, 'insert': 6}"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","pe sashbucking ale  lovll a betrayal s, rsevexge anmi abovey algl  fatg de","{'total_alterations': 24, 'delete': 7, 'replace': 9, 'insert': 8}"
