label,original_text,attacked_text,status
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not an objectionable r dull film ; it merely cacks everthincg except good intentions .,"{'total_alterations': 4, 'delete': 2, 'replace': 1, 'insert': 1}"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","nwot far beneath the surface , his recozfigured tale asks disturbing questions about tgose things we expect fro military epics .","{'total_alterations': 5, 'delete': 2, 'replace': 2, 'insert': 1}"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a dumb movil with dumb characters doing dumb thingos and yu have to be really dumb not t see where this is going .,"{'total_alterations': 5, 'delete': 2, 'replace': 2, 'insert': 1}"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","the special effectj and many scenesd of weightlessness look as gfod or better tthan in the original , while the oscar-winning sound and jaes horne 's rousing score make gvod use of the hefty audio system ","{'total_alterations': 8, 'delete': 3, 'replace': 3, 'insert': 2}"
0,teen movies have really hit the skids . ,teein movies have really hit hthe skids .,"{'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2}"
1,a quiet treasure -- a film to be savored . ,a quie treasure -- a fil to be savored .,"{'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0}"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,villeneuve spends too much tme wallowing in bqibi 's generic angst ( thereo are a lot of shots ol her gazing out windows x .,"{'total_alterations': 5, 'delete': 1, 'replace': 2, 'insert': 2}"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","it has charm o spare , and unlike vmany romantic comedies , iq does not lienate either gender in the audience m","{'total_alterations': 5, 'delete': 2, 'replace': 2, 'insert': 1}"
1,"though only 60 minutes long , the film is packed with information and impressions . ",though only 60 minutes long  the film is packed with informaton an impressions .,"{'total_alterations': 3, 'delete': 3, 'replace': 0, 'insert': 0}"
1,dense with characters and contains some thrilling moments . ,dense with cuarqcters and containst some thrilling moments .,"{'total_alterations': 3, 'delete': 0, 'replace': 2, 'insert': 1}"
