label,original_text,attacked_text,status
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objfctionable  ddul hfilmi s vt merl acks everthincg eocep good intenions ut.,"{'total_alterations': 26, 'delete': 12, 'replace': 6, 'insert': 8}"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",st bqfar hbeeneath hey srface g thivs reqcofigured tade aka disturbing questioxs hmabout home ings e expedpct vfro mxilitaly ericis d,"{'total_alterations': 38, 'delete': 12, 'replace': 10, 'insert': 16}"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,u xvumb mmvii wiithh hdmb characters doqhng duyb thigu and yo nav to bie realdy bmb ot dtoz sec whre thbs is goinbg j,"{'total_alterations': 32, 'delete': 7, 'replace': 16, 'insert': 9}"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","ythe spckal effgects onhd mianyb soene of weigfhtlessness loyo  mgoood o vette tho in nhe origyinl ,il while hn oescar-winning xund annd james hernwer 'ea rouwising sco mqkr gho ovse o th hifty gudizo syjstem l","{'total_alterations': 59, 'delete': 17, 'replace': 20, 'insert': 22}"
0,teen movies have really hit the skids . ,teevv mjovies hav relly htit t scids ,"{'total_alterations': 11, 'delete': 5, 'replace': 3, 'insert': 3}"
1,a quiet treasure -- a film to be savored . ,c quit treaszre --tr r film tk boe savotrend ,"{'total_alterations': 12, 'delete': 2, 'replace': 5, 'insert': 5}"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,vileneupe spend too mict me waalowin i bbi hs genericc angs ( thveue aj i ot oj sots hon hyer gazding u windows d .,"{'total_alterations': 35, 'delete': 15, 'replace': 13, 'insert': 7}"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","inz s chkm tqw spare ,u and unlirkes manky romaotid cokmedies , oitr doves npog nlienati itpher gdrder ni tcey audience o","{'total_alterations': 32, 'delete': 5, 'replace': 13, 'insert': 14}"
1,"though only 60 minutes long , the film is packed with information and impressions . ","tuouh ynly 0 miouees lonj ,dm the fiklm xis pacbecd wxpith nformaftion ad impessios .","{'total_alterations': 24, 'delete': 7, 'replace': 8, 'insert': 9}"
1,dense with characters and contains some thrilling moments . ,denskp ieith jharcters ansd conttaains sume thrillijn moxents q,"{'total_alterations': 18, 'delete': 5, 'replace': 4, 'insert': 9}"
