label,original_text,attacked_text,status
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objectionable  dul filmi ; it merl acks everthincg eocept good intentions .,"{'total_alterations': 15, 'delete': 9, 'replace': 3, 'insert': 3}"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","vnot uar beneoth tue yurface ,t vthisv rheconfiguredy tae asks dgsturbing questons abou those things we expet foromk militglry epics e","{'total_alterations': 22, 'delete': 6, 'replace': 5, 'insert': 11}"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a umb ymovre wthh dumb characteas doing cumb things and you have to be rall diumb nlut vto see hrre this iq going m,"{'total_alterations': 18, 'delete': 6, 'replace': 6, 'insert': 6}"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",thj special effvcts ndd mmey scenes of weightleshsness looks s gooi or beter than in oth original r whil ahq oscar-inning sund alnd james horner h's ousing scooe make god u of the hefty yadio syste g,"{'total_alterations': 34, 'delete': 14, 'replace': 12, 'insert': 8}"
0,teen movies have really hit the skids . ,teen miiovies have reallyi hik the askids ,"{'total_alterations': 6, 'delete': 1, 'replace': 1, 'insert': 4}"
1,a quiet treasure -- a film to be savored . ,l quiet treasure --d a fiflm to br saored e,"{'total_alterations': 7, 'delete': 2, 'replace': 2, 'insert': 3}"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,villeekve qsgpends toto muxh time wmanllowing in bibi 'ls generic iangdt (t tihere aire h lot of shotsx obf her gazinr ot windows  .,"{'total_alterations': 20, 'delete': 3, 'replace': 5, 'insert': 12}"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","it has charm to sare q avt uznlike many romantkc cxmedies , ete does notz aoienate either gejnder in the ayudienc c","{'total_alterations': 18, 'delete': 3, 'replace': 9, 'insert': 6}"
1,"though only 60 minutes long , the film is packed with information and impressions . ",though oinly 6 minutes longp  the flm is pacend wit infrmaition an impressfions .e,"{'total_alterations': 14, 'delete': 7, 'replace': 1, 'insert': 6}"
1,dense with characters and contains some thrilling moments . ,densmv wirh characters ad contairns some thrilliengw mnents p.,"{'total_alterations': 10, 'delete': 2, 'replace': 3, 'insert': 5}"
0,too much of the humor falls flat . ,ctoo much o the humor falis fla .,"{'total_alterations': 5, 'delete': 3, 'replace': 0, 'insert': 2}"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,aitm 'v l wovrzk bt san artist yo in control of bwh his nmedium anfd hig message that he yn improvise like  jazzman .i,"{'total_alterations': 18, 'delete': 3, 'replace': 7, 'insert': 8}"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","it s not original , and , robpbed f the element o surprise , a idores n'w hcvet aujny huge laugs in its storl ok irrevsponsible cops whlo iov t plko ranks .","{'total_alterations': 25, 'delete': 8, 'replace': 9, 'insert': 8}"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . "," srwashbucklbng aae of lhve , betrayaj , revjnge anx above all  faijh .","{'total_alterations': 12, 'delete': 3, 'replace': 8, 'insert': 1}"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","hn interestiznig sptoryk wih a pertinent (n cunematically unique cq message , tuld fairly well amrd soresd tp perfectwon ,q  found myself struggling to vput my fincer iond tat elksive ` missing thfug g ","{'total_alterations': 32, 'delete': 7, 'replace': 13, 'insert': 12}"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the m yrkm elysian fielde bis ca cold ,k bliss-less wsormk tqao grons along thinking itself xsome important comment on ohowr lxpife thrmows u some jeguiing curves d","{'total_alterations': 26, 'delete': 7, 'replace': 6, 'insert': 13}"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","prceptive in its vision of nascent industrialbizeda world politqics vas a nw autd form h bse fjl too claunky s, digudactic andc sadduled jwith scenes hact sfem simjply an ilv fixt foyr tihis movie ","{'total_alterations': 30, 'delete': 4, 'replace': 9, 'insert': 17}"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,it mdpde mw wnt tod wrench my veyes out ef my hel anx toss them ab the screex .,"{'total_alterations': 12, 'delete': 2, 'replace': 7, 'insert': 3}"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","z musto-se o tce daviad mamet entkusiast fcnd vfeor anyone who appreciates intelligent , sylish movieqvaking ","{'total_alterations': 18, 'delete': 6, 'replace': 5, 'insert': 7}"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",the weigjh z tzhe piecr  te unerrring professionalism of ee chilpy pkoductijon x addk the fascination tebedded en the lurid toapic prove cecommnndation enoucgh n.,"{'total_alterations': 27, 'delete': 8, 'replace': 8, 'insert': 11}"
1,puts a human face on a land most westerners are unfamiliar with . ,puts  human fce p a aland meost hesterners rg unfamiliar with ,"{'total_alterations': 11, 'delete': 5, 'replace': 4, 'insert': 2}"
1,"minority report is exactly what the title indicates , a report . ","mkznority repot is exactly what the ntqtle indicates , c meport y","{'total_alterations': 11, 'delete': 2, 'replace': 6, 'insert': 3}"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","good cr thaes , fgeat ight scenes , aq a dstinctive blend of european k amerzcav ald asianb influencek b","{'total_alterations': 18, 'delete': 7, 'replace': 8, 'insert': 3}"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gotgeous  high-spixited musica fryom india thaqt exquisitely blvnd music , ance l song  al hieh drjma c","{'total_alterations': 18, 'delete': 7, 'replace': 8, 'insert': 3}"
0,"not only unfunny , but downright repellent . ",not only nunfunny o buthq dowonright reellent .,"{'total_alterations': 7, 'delete': 2, 'replace': 0, 'insert': 5}"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( llwwence bounces ) al kover theze sage u, acing , qunning , sweating , oppiog is fnce and generally displaying the wacky talet that bmought hzim fae an the fyirsdt place m.","{'total_alterations': 28, 'delete': 9, 'replace': 10, 'insert': 9}"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","doe t ofelr much besides glilb oullessness , rauncy lanuane and x series  bruktal cet piecpfs .. that raise zhe bar obn stylitzed scmeen vxolence .","{'total_alterations': 25, 'delete': 10, 'replace': 9, 'insert': 6}"
1,"a poignant , artfully crafted meditation on mortality . ",lq poignanc k artfully rtafted msditation ion motality .,"{'total_alterations': 9, 'delete': 2, 'replace': 4, 'insert': 3}"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","au `u chk flicks d f ,t this one wigs pretty mgserablre , resorting to string-pulling rtser yan egitimate characteuk deveelopent ayvd intelligenft plotting .","{'total_alterations': 26, 'delete': 8, 'replace': 8, 'insert': 10}"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,it 's one ec or og chkracter study -- nob omf hearst ohr davies but of ghe nique jelationship betweenj them .,"{'total_alterations': 17, 'delete': 5, 'replace': 6, 'insert': 6}"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it ' hampered br a lifetime-shannel kicd of plot and w ltebad actris wo is tut b her epth e.,"{'total_alterations': 15, 'delete': 5, 'replace': 7, 'insert': 3}"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","what 's surprising about full fronktl ir hatp djspte lits overt snlf-awarenexs , prtx og h moie sttll manag to break pasl thpe arifice and horoughlsy engage tyou .","{'total_alterations': 28, 'delete': 11, 'replace': 10, 'insert': 7}"
1,i just loved every minute of this film . ,i just lovp dver minue of thid film .,"{'total_alterations': 6, 'delete': 3, 'replace': 3, 'insert': 0}"
1,a woman 's pic directed with resonance by ilya chaiken . ,a wrman m's pic directed it resonance b iqya chaiken ,"{'total_alterations': 9, 'delete': 5, 'replace': 2, 'insert': 2}"
0,a by-the-numbers patient/doctor pic that covers all the usual ground , by-the-numbers patient/doctor i xtshat covrvs aecl e usual groun,"{'total_alterations': 12, 'delete': 7, 'replace': 1, 'insert': 4}"
1,michael gerbosi 's script is economically packed with telling scenes . ,micshael gelbwsi 's scrizpt is economicaly packed wi telylng senep w,"{'total_alterations': 12, 'delete': 5, 'replace': 4, 'insert': 3}"
1,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","thoerce 's srething apuspicions , aund daring , tool r, about theh abrtisic nstinct ehbt pisohes  majority-oriented director likieq stevek spielberg t follow a.wim with hhms lhallenging rreporb sv liable t unnxerve hg majorihy uh","{'total_alterations': 37, 'delete': 7, 'replace': 15, 'insert': 15}"
1,"... a fun little timewaster , helped especially by the cool presence of jean reno . ",".. za fun littlepy timewastr , hejped espmmcially bo the coko presence of an rejo .","{'total_alterations': 14, 'delete': 5, 'replace': 4, 'insert': 5}"
0,but it 's too long and too convoluted and it ends in a muddle . ,vbuet it 'fsf tbo long and too convoluted and it enids in ao wudde q.,"{'total_alterations': 10, 'delete': 1, 'replace': 2, 'insert': 7}"
0,a valueless kiddie paean to pro basketball underwritten by the nba . ,z valueless iddie paean uto pro basketall underwritteh y tip rba ,"{'total_alterations': 11, 'delete': 4, 'replace': 6, 'insert': 1}"
1,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ",p simpl u kut gritte anmc well-acted ensembne drama that eqcmpasses a potbnt metaphor for a countbry still cealin wthm mts ffascmist jpst ,"{'total_alterations': 23, 'delete': 7, 'replace': 9, 'insert': 7}"
0,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,. a bomng parade  taking heads andt tfchnical gibberish thazt will o litle td advanice te lsinux cause ,"{'total_alterations': 18, 'delete': 10, 'replace': 4, 'insert': 4}"
1,"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard p xfor raunchy colege humor , thi is ysur touicket roight heq .","{'total_alterations': 13, 'delete': 5, 'replace': 3, 'insert': 5}"
0,the problem with this film is that it lacks focus . ,he problem with thfs film ids thwt it dackss fous y,"{'total_alterations': 8, 'delete': 2, 'replace': 4, 'insert': 2}"
0,"an absurdist comedy about alienation , separation and loss . ",and aburdisk comedhy abput aienation  separatiow ad oss .,"{'total_alterations': 10, 'delete': 5, 'replace': 3, 'insert': 2}"
1,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",m coa jn eety sense ft tv pinochet carse splits tih between u minute-by-minute account of se brritisn wurt 's extradation cheps game ond thd rfgidme ls talkikg-hekd survivors .,"{'total_alterations': 30, 'delete': 6, 'replace': 20, 'insert': 4}"
1,"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . ","x( t )r his beguiling belgiin fable , vhery myuch it own droll sxand delicate ittl film , hs some touching tsings tor sky about whu uus imortant yn lice and wyy e.","{'total_alterations': 26, 'delete': 8, 'replace': 7, 'insert': 11}"
0,it all feels like a monty python sketch gone horribly wrong . , l feels wike b monty pythow skegch gone horribly wrong .f,"{'total_alterations': 10, 'delete': 5, 'replace': 3, 'insert': 2}"
1,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ","aoesome crepatures yd, breathlaking smenry , and pix battle scenas adew upx uto aogher ` spectacular aspectcle . '","{'total_alterations': 19, 'delete': 5, 'replace': 6, 'insert': 8}"
0,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","o the wzolt j ts mvie acks wt , feeling an believabilit n coybpensate for aits incefsant coarseness ad banality jl","{'total_alterations': 20, 'delete': 9, 'replace': 8, 'insert': 3}"
1,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ","asid on ay devilishyx witty scyipt by hether mycgowan ax niels mueller b, thie flm gets gres laueghxs x, bt nehr hat the expense of mts charaters","{'total_alterations': 24, 'delete': 9, 'replace': 6, 'insert': 9}"
0,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ","hdragoxnfly nam bno atmosphere ,w so tension -- nothinpw but cosjtner  flailing away w","{'total_alterations': 13, 'delete': 2, 'replace': 4, 'insert': 7}"
1,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","muartin aen brbaa ae ceomplex characers -v- smetimes tnder g, sometiml angry -i an zhe delicatb performances by ven wolltjr sand vigeka sedahl make thir ahopes acnod frustrationr vivi ","{'total_alterations': 32, 'delete': 15, 'replace': 7, 'insert': 10}"
1,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ","thpe vitlitqy of he actors kep the intesitz yf the film whfigh , even as phe straings blsend togzthler ","{'total_alterations': 17, 'delete': 7, 'replace': 4, 'insert': 6}"
1,there 's a wickedly subversive bent to the best parts of birthday girl . ,terg 'es azw wickedly subversive benst to the best pvajrts ofk birthday grbl .,"{'total_alterations': 12, 'delete': 2, 'replace': 2, 'insert': 8}"
0,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ",ocf f kim ) hegins xto overplay phe shock atics nd bait-uand-tackle metaphors v ou may decide iz 's two high a prce ft pay or a shifmering pictuole postcard ,"{'total_alterations': 26, 'delete': 11, 'replace': 9, 'insert': 6}"
1,"an entertaining , colorful , action-filled crime story with an intimate heart . ","ac enertainnng , colorful ,h action-filled crcbe stzory with n ilimate heart m","{'total_alterations': 13, 'delete': 3, 'replace': 8, 'insert': 2}"
1,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,it deserwgs tr bfne seen eby anyone with vsn  passinga interest i th events spaping thz world deyoend tieir ow horizons d,"{'total_alterations': 20, 'delete': 5, 'replace': 10, 'insert': 5}"
1,an exquisitely crafted and acted tale . ,an exquisily kcraftd and aoted tale hi,"{'total_alterations': 7, 'delete': 3, 'replace': 2, 'insert': 2}"
1,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ","lsoing aristocratic , luminous yez careworn ibxn anue hamiwton 'sm exemplary cosolumes , pampling vives ab fpjerformance tiat coul nst bj improrved uyom j. u'","{'total_alterations': 25, 'delete': 3, 'replace': 11, 'insert': 11}"
0,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find sbme hook oe whnich tg ean hviis pevsistently sseless movies , d it igvt s well bu e resuscitationg vo the middlie-agmed character p.","{'total_alterations': 26, 'delete': 9, 'replace': 8, 'insert': 9}"
