label,original_text,attacked_text,status
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not an objectionable  dull film ; it merel cacks everthincg eocept good intentions .,"{'total_alterations': 7, 'delete': 4, 'replace': 2, 'insert': 1}"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","not fcr beneath ttec surfac ,i this reconfiigured talre asks disturing questions about those things we expect frm litary epics .","{'total_alterations': 11, 'delete': 5, 'replace': 2, 'insert': 4}"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a dumb movie with dumb characters doing dummb thins and you hawe o be reflly dumb not to see where this s goig ,"{'total_alterations': 9, 'delete': 5, 'replace': 3, 'insert': 1}"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","the special effects and many scenes ouf weghtlesysness look s tood or better than qin the orqiginal ,d whiae the olcar-winning sound and james horner 'so rousing scomre make vood use f lhe hefty audio systes .","{'total_alterations': 17, 'delete': 3, 'replace': 7, 'insert': 7}"
0,teen movies have really hit the skids . ,teen moveys have really it the skids .,"{'total_alterations': 3, 'delete': 2, 'replace': 0, 'insert': 1}"
1,a quiet treasure -- a film to be savored . ,a quiet treasur -- a film to be savoed r,"{'total_alterations': 3, 'delete': 2, 'replace': 1, 'insert': 0}"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,vilseneuve qspends too much times wallowing in bi rs generuc angst d there are a lot of shots of her azing out windows ) w.,"{'total_alterations': 10, 'delete': 3, 'replace': 4, 'insert': 3}"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","it has charm to spore , ad ounlike many romantic comedies , hit oes vnot alienat either gender in the abudience n","{'total_alterations': 9, 'delete': 3, 'replace': 2, 'insert': 4}"
1,"though only 60 minutes long , the film is packed with information and impressions . ","thzough only 60 minutes long , mhe film is packed cwith information banw impressions f","{'total_alterations': 7, 'delete': 1, 'replace': 2, 'insert': 4}"
1,dense with characters and contains some thrilling moments . ,dene with charactes nd contains some thrilling moments ,"{'total_alterations': 5, 'delete': 4, 'replace': 1, 'insert': 0}"
0,too much of the humor falls flat . ,too tmmuch of the humor falls flat .,"{'total_alterations': 3, 'delete': 0, 'replace': 1, 'insert': 2}"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,it 's e work by an arhist so io contro aof bloth his medium and his message thatz he can improvise like a jazzman .,"{'total_alterations': 9, 'delete': 1, 'replace': 5, 'insert': 3}"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","uv 's not original , abd i, robberd of ts element of surprise v, it does nt have any huge laughs in its story of irresponsible cops co love to play pranks .","{'total_alterations': 12, 'delete': 3, 'replace': 6, 'insert': 3}"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","a swashbuckling tale ofd love lt, betrayal , revenge and above ll , fith x","{'total_alterations': 6, 'delete': 2, 'replace': 1, 'insert': 3}"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","ln interesting stoy with a pertinent p cinematically unique ) message , tol fairly el an scred tv perfection , i fouznd msnelf struggling to ut my finge on that elusive `` missng thing d ''","{'total_alterations': 16, 'delete': 10, 'replace': 4, 'insert': 2}"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","the man from elysian fields iq o caold , jliss-kess xork that groaens along thiqking itselfx some important comment on how lice throws uss some beguiling cvurves .","{'total_alterations': 13, 'delete': 0, 'replace': 8, 'insert': 5}"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","pyerceptive in is vision iwf nscent industrialized worvd politics as a new art form , but fayr too clunky , didactic an saddled with seenes that seem simpl arp ill fit for this movikh .","{'total_alterations': 15, 'delete': 4, 'replace': 6, 'insert': 5}"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,itm mad me want to wrench my eyes out of my head acndw tosn them a the screen .,"{'total_alterations': 6, 'delete': 2, 'replace': 1, 'insert': 3}"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ",ca must-see for the david mamt enthusiast and for anyonen wio appreciates intelliegent  stylish movieaking .,"{'total_alterations': 9, 'delete': 4, 'replace': 1, 'insert': 4}"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","tahev weight lf thve piece s, the ynerring professionalism of the chilly procuction , anfd thg fascination embedded inh ye lurid topic prove recommendation enoiugh .","{'total_alterations': 13, 'delete': 1, 'replace': 5, 'insert': 7}"
1,puts a human face on a land most westerners are unfamiliar with . ,puts a human face on a land mot nestecners lare unfamilwiar with .,"{'total_alterations': 5, 'delete': 1, 'replace': 2, 'insert': 2}"
1,"minority report is exactly what the title indicates , a report . ","minority reprt it exactlky what the title indicates ,n a report h","{'total_alterations': 5, 'delete': 1, 'replace': 2, 'insert': 2}"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","gofd car chaes , great fight scenes j ang a distinctie blend of european j, awercan and asian influencqs .","{'total_alterations': 9, 'delete': 3, 'replace': 5, 'insert': 1}"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","ia gorgeous , high-spirited musical fro india tat exquisittely bendsg musi l dance , sog , and high drama .","{'total_alterations': 9, 'delete': 5, 'replace': 1, 'insert': 3}"
0,"not only unfunny , but downright repellent . ","nowt onlyj unfunnp , but downright repellent f","{'total_alterations': 4, 'delete': 0, 'replace': 2, 'insert': 2}"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( lawrence bounces  alb over tuhe statge , dancng w running , seating ,o mopping his face and tenrally displaying the wacky talent that brought him fame i the frst place .","{'total_alterations': 14, 'delete': 7, 'replace': 3, 'insert': 4}"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","oes n't offer miwh besides glibx soullessness , raunchy languagce and a serires ofi brutal seb pieces ... that raise the br on stylized screen vionlence o","{'total_alterations': 12, 'delete': 3, 'replace': 3, 'insert': 6}"
1,"a poignant , artfully crafted meditation on mortality . ",a poignant iu artfully craftey meditation fn mortalilty .,"{'total_alterations': 5, 'delete': 0, 'replace': 3, 'insert': 2}"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","anz j chck fliqcks ' go , thris one is prejty miserable , resorting tpdo string-pulling rather tdan legitimate charactyer development oand intelligent plotting .","{'total_alterations': 13, 'delete': 2, 'replace': 3, 'insert': 8}"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,it 's one heck of a character study -k- nnte of hearst or davies bkt oof he uiqoue relationship bctween them .,"{'total_alterations': 9, 'delete': 2, 'replace': 3, 'insert': 4}"
